Filled container:
Container contains 1000 elements.
0: It is a tree: name = kqpkfrohdhlzjvpropx, age = 359071274
1: It is a bush: name = ujkdvnorlrohbxp, flowering month = 12
2: It is a bush: name = jundm, flowering month = 5
3: It is a flower: name = dmstjf, type = wild
4: It is a tree: name = wyubmp, age = 372945099
5: It is a flower: name = nntwrdoqqbfld, type = wild
6: It is a tree: name = l, age = 657173685
7: It is a tree: name = mxwdbhlkmocdeujktuo, age = 121988334
8: It is a tree: name = ropwq, age = 1598363264
9: It is a tree: name = vicx, age = 454955036
10: It is a flower: name = zkzrkyyxlxlz, type = garden
11: It is a bush: name = zrhbhkc, flowering month = 1
12: It is a tree: name = gejn, age = 2119382884
13: It is a flower: name = n, type = garden
14: It is a bush: name = jxdgoajorttww, flowering month = 4
15: It is a bush: name = vlkoaifgzlyrfen, flowering month = 12
16: It is a bush: name = yddtu, flowering month = 2
17: It is a tree: name = basnkyxaqaywjifiifbt, age = 746954595
18: It is a bush: name = zveh, flowering month = 7
19: It is a bush: name = wmvrim, flowering month = 1
20: It is a flower: name = vhoaekwnxcsosnjkhce, type = potted
21: It is a tree: name = ybwbnjfoezdzpqjovt, age = 1704133141
22: It is a flower: name = uqlihjzvwoihzpgl, type = wild
23: It is a tree: name = vsrvexduivbalyz, age = 2009391029
24: It is a tree: name = yfbrsideuxapsniq, age = 762294145
25: It is a flower: name = djnqlmnoxusxw, type = potted
26: It is a bush: name = uovjpexazpdvwmanb, flowering month = 9
27: It is a bush: name = rfdddko, flowering month = 7
28: It is a tree: name = ivnfvehotbeayeoeghhj, age = 1242874837
29: It is a flower: name = gqdmdbulgimcodbfm, type = garden
30: It is a bush: name = yoxy, flowering month = 1
31: It is a bush: name = wneeyigwjke, flowering month = 10
32: It is a flower: name = agtbcawhf, type = wild
33: It is a flower: name = dbwpbvtotpoycvau, type = garden
34: It is a bush: name = mdwgbzodkmglj, flowering month = 1
35: It is a flower: name = eaygnlpxei, type = wild
36: It is a tree: name = wnlbmahehkhlcehut, age = 1378138002
37: It is a bush: name = qfwsrcrbjzi, flowering month = 5
38: It is a bush: name = zvybxsagob, flowering month = 8
39: It is a tree: name = muuwkifyosrgv, age = 1746530140
40: It is a tree: name = uripvoxonvaz, age = 1893972210
41: It is a tree: name = fneyimllx, age = 157992272
42: It is a bush: name = drzniwdivths, flowering month = 4
43: It is a bush: name = qvzumzxfsq, flowering month = 5
44: It is a bush: name = foggnlfuujncahv, flowering month = 3
45: It is a flower: name = ktljspdftzcuwntsxnm, type = garden
46: It is a flower: name = qtusvrwloz, type = wild
47: It is a bush: name = klds, flowering month = 2
48: It is a tree: name = tdmytzhuqpeazcum, age = 74019484
49: It is a flower: name = nmxhukk, type = garden
50: It is a tree: name = lzo, age = 400378636
51: It is a flower: name = acpgwtgrvkvnxkpglj, type = garden
52: It is a flower: name = ziebb, type = wild
53: It is a tree: name = rrkq, age = 912469719
54: It is a bush: name = hah, flowering month = 12
55: It is a bush: name = ssfiupkhlqzuxw, flowering month = 1
56: It is a tree: name = qhyxbfvvqdjwoweyqz, age = 1704999444
57: It is a tree: name = bviwrttbkabyvuif, age = 1086014216
58: It is a tree: name = iesqvosdj, age = 1871488235
59: It is a tree: name = dwysvfhiwyl, age = 1330991834
60: It is a tree: name = igvsbxnpexy, age = 1742070076
61: It is a flower: name = qrxrgjcguvkoib, type = garden
62: It is a bush: name = iiinpxlftbravihk, flowering month = 3
63: It is a tree: name = biiagufa, age = 758859018
64: It is a flower: name = rgrabmsie, type = garden
65: It is a bush: name = dlttpufxsinavvon, flowering month = 10
66: It is a flower: name = mseykfqatnyernmz, type = wild
67: It is a flower: name = audmassjttusxrkvy, type = wild
68: It is a tree: name = p, age = 507460530
69: It is a tree: name = lgesfqsqav, age = 526314564
70: It is a tree: name = tz, age = 1503893551
71: It is a bush: name = rgkplmrnbbciv, flowering month = 3
72: It is a bush: name = rlsyzinroyvnggskbc, flowering month = 10
73: It is a tree: name = ywzpkilv, age = 870149819
74: It is a flower: name = wixjmgrgmjglhq, type = garden
75: It is a tree: name = lbpbdhrtenqwil, age = 488960341
76: It is a bush: name = bvfejlr, flowering month = 1
77: It is a tree: name = naenjqfzbdqthdxztypm, age = 1954971091
78: It is a bush: name = twrzuzye, flowering month = 1
